Road ID,Shapefile ID,Road Name,PCI,Road Quality,Running PCI,Surface Material,Material Thickness,Length,Width,Lifespan,Remaining Surface Life,Asset Value,Road Surface,Area,Road Owner,Road Category,Traffic Volume,Year Resurfaced,Road From,Road To
01KP4C7W3GC2AVPX4BSGX5NVD4,{3BB426AD-466F-4A21-AFD4-1DA79A2F3B5D},KERIHILL CIR,68,C,12.5,asphalt,2,333.165929207035,50,20,5 Years and 3 Months,17734.475295171298,paved,,City,Cul-de-sac,,,SAINT JAMES DR,
01KP4C82ZC4W36M5DWT16CXTZ4,{734A4FA9-08A4-47DA-8089-E17BB2531996},TALLYHO DR,68,C,3.96,asphalt,2,1816.778797680885,50,20,5 Years and 3 Months,96707.42377814042,paved,,City,Local,,,BRIDLE CT,
01KP4C8AB9XMRSR8FDTCB4X0EV,{46FBB9AE-8F10-48B3-B1EB-D6E795864DB2},N DONAHUE DR,68,C,'-2.17,asphalt,2,1408.3385621070038,24,26,6 Years and 9 Months,35983.72089924447,paved,,City,Arterial,,,JAMES BURT PKWY,STABLE CREEK CT
01KP4C82TTWQJ8PR9XW25PZ3QW,{871AF064-1189-4C2B-ADFF-3F2B3715F0D4},LAUREL DR,68,C,'-1.17,asphalt,2,616.1197142812138,50,20,5 Years and 3 Months,32796.15018796905,paved,,City,Local,,,FELTON LN,SANDERS ST
01KP4C8AC16KZXNVZQF0MNGDXS,{32ACF26C-4796-4219-934D-E8D82A0F4C65},OVERBROOK LN,68,C,9.75,asphalt,2,155.4673986575405,50,20,5 Years and 3 Months,8275.554307905748,paved,,City,Cul-de-sac,,,OVERBROOK CIR,
01KP4C82VA95YG2CNJRRMS573J,{765A3D00-B539-4932-8E99-C6C111DA6131},PINE HILLS AV,68,C,3.81,asphalt,2,486.11227687657686,50,6,1 Years and 7 Months,25875.83365881906,paved,,City,Local,,,N COLLEGE ST,FELTON LN
01KP4C7VN5M488K2AF79NF5QVR,{E12F3BF4-D8AE-4F70-9FB3-77133D927E93},CARY DR,68,C,15.17,asphalt,2,819.1951868065491,60,6,1 Years and 7 Months,52327.06778963357,paved,,City,Local,,,BAYTREE LN,HOLLY TREE LN
01KP4C7YRAKPKJVQHS3MA2XFA1,{A100D319-9A7B-4818-84DC-BB1D32E30051},HAWTHORN CT,68,C,'-6,asphalt,2,434.0994280453226,50,20,5 Years and 3 Months,23107.18145952364,paved,,City,Cul-de-sac,,,BELMONTE DR,
01KP4C85JM1NB76AJSD3K3A73J,{49A70D92-AF5B-450B-9D59-21E324A5444E},KALYPSO CIR,68,C,2.5,asphalt,2,1087.617039098326,50,20,5 Years and 3 Months,57894.02762882913,paved,,City,Local,,,ANNALUE DR,ANNALUE DR
01KP4C7Z82AECW16W61GMNZYK4,{8AD676FB-97CB-4982-BB36-63417C608D12},SHELTON MILL RD,68,C,'-2.1,asphalt,2,618.0473564263234,50,28,7 Years and 4 Months,32898.75888532818,paved,,City,Arterial,,,N COLLEGE ST,N GAY ST
